eticheta,mesaj
legitim,"Wow. Nu mi-am dat seama niciodată că ești atât de rușinat de cazarea ta. Credeam că ți-a plăcut, din moment ce făceam tot ce puteam și păreai mereu atât de fericită de \peșteră\"". Îmi pare rău că nu am făcut-o și nu mai am de dat. Îmi pare rău că m-am oferit. Îmi pare rău că camera ta a fost atât de penibilă."""
phishing,SMS. ac Sptv: The New Jersey Devils și Detroit Red Wings joacă hochei pe gheață. Corect sau incorect? Sfârşit? Răspunde END SPTV
legitim,Știi ce a făcut Mallika Sherawat ieri? Aflați acum @ &lt;URL&gt;
phishing,"Felicitari! Abonamentul special pentru cinema de 1 an pentru 2 este al tău. sunați la 09061209465 acum! C Suprman V, Matrix3, StarWars3, etc toate 4 GRATUIT! bx420-ip4-5we. ora 150. Nu ratați!"
legitim,"Îmi pare rău, voi suna mai târziu în întâlnire."
legitim,Spune unde ai ajuns
legitim,Da..gauti si sehwag din seria odi.
legitim,Va trebui să iei un burger de 1 USD în drum spre casă. Nici măcar nu mă pot mișca. Durerea mă omoară.
legitim,Ha ha ha glumă bună. Fetele sunt în căutarea situației.
legitim,Face parte din verificarea IQ-ului
legitim,"Îmi pare rău colegilor mei de cameră au luat o veșnicie, e bine dacă vin acum?"
legitim,"Ok, lar, verific dacă da un coafor deja a spus că wun cut v short. El a spus că voi tăia până voi arăta bine."
phishing,"În calitate de client apreciat, am plăcerea să vă aduc la cunoștință că, în urma revizuirii recente a numărului dvs. Mob, vi se acordă un premiu bonus de 1500 GBP, sunați la 09066364589"
legitim,"Astăzi este ziua dedicată \melodiei...\"" Ce cântec îmi vei dedica? Trimite asta tuturor prietenilor tăi valoroși, dar mai întâi răspunde-mi..."""
phishing,"Urgent UR a acordat o călătorie gratuită la EuroDisinc Trav, Aco&Entry41 sau 1000 £. Pentru a revendica txt DIS la 87121 18+6*å1,50 GBP(mai multFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
phishing,"Ai auzit despre noua \Divorce Barbie\""? Vine cu toate lucrurile lui Ken!"""
legitim,Plănuiesc să dau la sfârșitul acestei luni.
legitim,Omule norocos... Atunci poți economisi bani... Hee...
legitim,Clasa terminată unde ești.
legitim,"Bună, iubito, sunt acasă acum Vrei să faci ceva? XX"
legitim,K..k:)unde esti?cum ai evoluat?
legitim,ma poti suna acum...
legitim,il astept pe machan. Sună-mă când te eliberezi.
legitim,Asta e tare. Sunt un domn și te voi trata cu demnitate și respect.
legitim,Îmi placeți foarte mult de voi oameni:) dar sunt foarte timid ta.
legitim,Nu funcționează după &lt;#&gt;  sau ce
legitim,Nu este același lucru aici. Încă mai caut un loc de muncă. Cât câștigă Ta acolo.
legitim,"Scuze, o să sun mai târziu"
legitim,K. M-ai sunat tocmai acum ah?
legitim,"Ok, sunt pe drum spre casa, salut"
legitim,Vei fi în locul acelui om
legitim,Da următoarea oprire.
legitim,"Te sun mai târziu, nu am rețea. Dacă este urgent, sms-mi."
legitim,Pe bune când te urci pe tine? Mai am nevoie de încă 2 bilete și încă o jachetă și am terminat. Mi-am folosit deja toate multi-urile.
legitim,"Da, am început să trimit cereri pentru a reuși, dar durerea a revenit așa că m-am întors în pat. Monede duble și la fabrică. Trebuie să-mi încasez toți nitroșii."
legitim,"Chiar nu sunt până în seara asta, iubito"
legitim,"Ela kano., îl descarc, vin gratuit.."
legitim,"Da! Nu sta să închizi, deși vei prinde ceva!"
legitim,Îmi pare rău că sunt o durere. E bine dacă ne întâlnim altă noapte? Mi-am petrecut după-amiaza târziu în accident și asta înseamnă că nu am făcut nimic din y stuff42moro și asta include toate foile mele de pontaj și asta. Îmi pare rău.
legitim,Zâmbește cu plăcere Zâmbește cu durere Zâmbește când necazurile se revarsă ca ploaia.
phishing,"Vă rugăm să sunați la reprezentantul serviciului nostru pentru clienți la 0800 169 6031 între orele 10:00 și 21:00, deoarece ați CÂȘTIGAT un premiu garantat de 1000 GBP în numerar sau 5000 GBP!"
legitim,Nu am de gând să cumpere mai târziu. Verifică deja că Lido a avut doar 530 de spectacole în după-amiaza. Ai terminat deja treaba?
phishing,"Tonul de apel gratuit așteaptă să fie colectat. Pur și simplu trimiteți parola \MIX\"" la 85069 pentru a verifica. Obțineți Usher și Britney. FML"
legitim,Ma uit la un film telugu.. ce despre tine?
legitim,"Înțeleg. Când terminăm, avem o mulțime de împrumuturi de plătit"
legitim,"Hi. Am fost ok - în vacanță acum! Da, pentru un pic de alergare. Am uitat că am programare la coafor la patru, așa că trebuie să ajung acasă la duș înainte. Asta vă provoacă probleme?\""sunca"""
legitim,Te rog nu-mi mai trimite mesaje. Nu am nimic altceva de spus.
legitim,"Bine, numiți prețul, atâta timp cât este legal! Wen pot să le iau? Aveți x ams xx"
legitim,Încă mai caut o mașină de cumpărat. Și încă nu am trecut examenul de conducere.
legitim,"Conform solicitării dvs., „Melle Melle (Oru Minnaminunginte Nurungu Vettam)” a fost setat ca ton de apelare pentru toți cei care apelează. Apăsați *9 pentru a copia prietenii dvs. Callertune"
legitim,"Wow. ai dreptate! Nu am vrut să fac asta. Bănuiesc că odată ce am renunțat la Boston Men și mi-am schimbat locația de căutare în nyc, ceva s-a schimbat. Pentru că pe pagina mea de conectare mai scrie Boston."
legitim,Umma viața mea și vava umma te iubesc mult dragă
legitim,Multumesc mult pentru urari de ziua mea. Vă mulțumesc că mi-ați făcut ziua de naștere cu adevărat memorabilă.
legitim,"Ok, te voi bate când voi primi niște bani"
legitim,"Cum ar testa adresa mea IP că, având în vedere că computerul meu nu este un server Minecraft"
legitim,"Știu! Bătrâni morocănos. Mama mea era ca și cum ar fi bine să nu minți. Apoi, din nou, eu sunt mereu cel care face glume..."
legitim,Nu vă faceți griji. Presupun că e ocupat.
legitim,Care este pluralul substantivului cercetare?
legitim,Merg la cină.msg-ți după.
legitim,Sunt bine dacă îmi plac 2 să încerc lucruri noi. Dar te-am speriat ca mah. Pentru că ai spus că nu prea tare.
phishing,DOMNUL! Încercăm să vă contactăm. Extragerea din weekendul trecut arată că ați câștigat un premiu de 1000 GBP GARANTAT. Sunați la 09064012160. Cod de revendicare K52. Valabil doar 12 ore. 150 ppm
legitim,"Wa, ai deschis o propoziție foarte formală... Oricum, și eu sunt bine, juz tt mănânc prea mult și mă îngraș... Haha... Deci s-a întâmplat ceva special?"
legitim,"Când am intrat în cabina mea, PA-ul meu a spus: „La mulți ani șefu!”. M-am simțit special. Ea mi-a cerut 4 prânz. După prânz, m-a invitat în apartamentul ei. Ne-am dus acolo."
phishing,Sunteți câștigător U ați fost selectat special 2 primiți å£1000 sau o vacanță de 4* (zboruri inclusiv) vorbiți cu un operator în direct 2 revendicare 0871277810910p/min (18+)
legitim,"Bine! Da, trebuie să vorbim vineri - raportul ou-cartofi pentru tortilla necesar!"
legitim,"Hmm... unchiul meu tocmai m-a informat că plătește direct școala. Deci, vă rugăm să cumpărați mâncare."
phishing,PRIVAT! Extrasul dvs. de cont din 2004 pentru 07742676969 arată 786 de puncte bonus nevalorificate. Pentru revendicare sună la 08719180248 Cod de identificare: 45239 Expiră
phishing,"URGENT! Numărul dvs. de telefon mobil a primit un premiu bonus de å2000 GBP pe 09.05.03 Aceasta este ultima noastră încercare de a contacta U! Apelați de la telefonul fix 09064019788 BOX42WR29C, 150PPM"
legitim,iată noua mea adresă - mere și perechi și tot acel malarky
phishing,"Numerele Voda de astăzi care se termină cu 7548 sunt selectate pentru a primi un premiu de 350 USD. Dacă aveți o potrivire, sunați la 08712300220, menționând codul de revendicare 4041 aplicația tarife standard"
legitim,Mă duc să sao mu azi. Se va face abia la 12
legitim,ÌÏ preziceți la ce oră Ì_ va termina de cumpărat?
legitim,"Lucruri bune, va merge."
legitim,"Ca să știi, totuși încă nu a trimis bani. Tocmai i-am trimis un sms ca să nu-l deranjeze să trimită. Deci s-a terminat, nu trebuie să te implici în nimic. Nu ar fi trebuit să-ți impun nimic în primul rând, așa că pentru asta, îmi cer scuze."
legitim,Ești acolo în cameră.
legitim,BUNA FATA. CUM MAI EŞTI? SPER ȚI-MĂ BINE AN ​​DEL R BAK! DIN MULT DE MULT NU C! DĂ-MI UN SUMĂ DE TIMP DE AVOARE DE LA LUCYxx
legitim,K..k:)cat costa?
legitim,Sunt acasă.
legitim,"Dragă, voi suna mâine. Vă rugăm să vă cazați."
legitim,Mai întâi răspunde la întrebarea mea.
phishing,"Sunshine Quiz Wkly Q! Câștigă un DVD player Sony de top dacă știi în ce țară se află Algarve? Txt ansr la 82277. å1,50 GBP SP:Tyrone"
phishing,Vrei să te culci în seara asta? Vrei ca locații reale să fie trimise direct la mafia ta? Alăturați-vă celei mai mari rețele Dogging din Marea Britanie bt Txting GRAVEL la 69888! Nt. ec2a. 31p.msg@150p
legitim,Am doar un msn. Este yijue@hotmail.com
legitim,El este acolo. Sunați și întâlniți-l
legitim,Nu nu. Voi verifica toate camerele înainte de activități
phishing,"Nu vei mai trimite mesaje din svc-ul de chat. Pentru servicii hardcore GRATUITE, trimiteți mesajul la: 69988 Dacă nu primiți nimic, trebuie să verificați vârsta cu rețeaua și să încercați din nou"
legitim,"Am c... Mi-e lene să tast... Am uitat Ì_ în lect... Am văzut o pungă, dar nu era drăguț..."
legitim,"K, trimite-mi mesaj când ești pe drum"
legitim,"Domnule, vă aștept corespondența."
legitim,"Un gând swt: \Nver să obosească să faci lucruri mici 4 persoane iubite..\"" Coz..uneori acele lucruri mici ocupă d cea mai mare parte în inimile lor.. Gud ni8"""
legitim,Știu că ești. Poti te rog sa deschizi spatele?
legitim,"Da, nu ne vedem pe punct"
legitim,Care este numele personalului care ia curs pentru noi?
phishing,"FreeMsg De ce nu ai răspuns la textul meu? Sunt Randy, sexy, femeie și trăiesc local. Îmi place să aud de la tine. Netcollex Ltd 08700621170150p per mesaj răspuns Oprire până la sfârșit"
legitim,"Ummma.voi suna după check-in. viața noastră va începe din Qatar, așa că vă rugăm să vă rugați foarte mult."
legitim,K.. mi-am șters contactul de aceea?
legitim,Sindu s-a angajat în birla soft ..
legitim,Vinul curge și eu nu am niciodată..
legitim,"Da, cred că cine este mai bine pentru că nu e nevoie să mergi pe 2 plaza mah."
legitim,Ok... Răspunsul obișnuit...
legitim,"Conform solicitării dvs., „Melle Melle (Oru Minnaminunginte Nurungu Vettam)” a fost setat ca ton de apelare pentru toți cei care apelează. Apăsați *9 pentru a copia prietenii dvs. Callertune"
legitim,"Ești peste tot murdărie, pe podea, pe ferestre, chiar și pe cămașa mea. Și uneori, când deschid gura, tu ești tot ceea ce curge afară. Visez la lumea mea fără tine, apoi jumătate din treburile mele sunt eliminate. Un moment de bucurie pentru mine, o mulțime de emisiuni tv voi vedea. Dar cred că, ca toate lucrurile, trebuie să existe, cum ar fi ploaia, grindina și ceața, iar când timpul meu aici se termină, tu și cu mine devenim una."
legitim,Aaoooor ești la serviciu?
legitim,Acum ies din casa mea...
legitim,Salut iubirea mea. ce faci? Ai ajuns azi la acel interviu? esti fericit? Esti un baiat bun? Te gândești la mine? Ți-e dor de mine?
phishing,Anuntul serviciului clienti. Te așteaptă o livrare de Anul Nou. Vă rugăm să sunați la 07046744435 acum pentru a aranja livrarea
phishing,Sunteți câștigător. Ați fost selectat în mod special 2 primiți 1000 GBP cash sau o vacanță de 4* (zboruri inclusiv) vorbiți cu un operator în direct 2 revendicare 0871277810810
legitim,Păstrează-te în siguranță pentru mine pentru că am nevoie de tine și deja mi-e dor de tine și îi invidiez pe toți cei care te văd în viața reală
legitim,Mașină și casă nouă pentru părinții mei.:)Am doar un loc de muncă nou în mână:)
legitim,Sunt atât de îndrăgostit de tine. Sunt încântat în fiecare zi pe care o petrec cu tine. Mă faci atât de fericit.
phishing,-PLS STOP bootydelious (32/F) te invită să fii prietenul ei. Răspunde DA-434 sau NU-434 Vezi ea: www.SMS.ac/u/bootydelious STOP? Trimiteți STOP FRND la 62468
phishing,"Comanda BangBabes Ur este pe drum. TREBUIE să primiți un mesaj de serviciu 2 descărcare conținut UR. Dacă nu, mergeți la wap. bangb. tv pe UR mobil internet/meniu de servicii"
legitim,Am plasat deja toate punctele pe modulul e culturi.
phishing,URGENT! Încercăm să vă contactăm. Extragerea din weekendul trecut arată că ați câștigat un premiu de 900 GBP GARANTAT. Sunați la 09061701939. Revendicare cod S89. Valabil doar 12 ore
legitim,"Bună, frnd, care este cel mai bun mod de a evita înțelegerea greșită a persoanei iubite?"
legitim,"Mare evadare. Îmi place podul, dar are nevoie de berea ei. Ne vedem tomo"
legitim,"Da :)este complet deformat:)clark, de asemenea, deșeuri absolute."
legitim,"Domnule, am nevoie de nr de cont AXIS BANK și de adresa băncii."
legitim,"Hmmm.. Sigur că ai timp să hop ard... Da, pot merge 4 gratuit aproximativ... Te sun să discutăm despre relație..."
legitim,La ce oră cobori mai târziu?
legitim,"La naiba, nu pot să cred că mi-ai uitat numele de familie, dl. Îți voi da un indiciu, este spaniolă și începe cu m..."
legitim,"Ei bine, o să-mi termin baia acum. O noapte bună... bună."
legitim,"Anunță-mă când ai banii, ca Carlos să poată suna"
legitim,Mai mergi la mall?
legitim,"Se pare că prietenii mei rămân pe tot parcursul spectacolului și nu se vor întoarce până la ~ &lt;#&gt; , așa că nu ezitați să mergeți mai departe și să fumați acel $ &lt;#&gt;  valoare"
legitim,"SMS-i. Dacă ea nu răspunde, anunțați-mă ca să o pot conecta"
legitim,Hi! Tocmai ați vorbit cu MANEESHA V. Am dori să știm dacă ați fost mulțumit de experiență. Răspundeți gratuit cu Da sau Nu.
legitim,Mi-ai ridicat speranțele cu oferta de bani. am nevoie. Mai ales când se apropie sfârșitul lunii și mă doare studiul. Oricum să aveți un weekend gr8
legitim,Lol nu. Poți avea încredere în mine.
legitim,Bine. Sunt un domn și te voi trata cu demnitate și respect.
legitim,"El se va închide, băieți?"
legitim,Nu merg la nimic grozav.pa
legitim,salut frumos! Îți găsești jobul? Să nu fii leneș? Lucrezi să recuperezi plasa pentru mami? Unde este băiatul meu acum? Îi este dor de mine?
legitim,"Haha minunat, fii acolo într-un minut"
phishing,"Vă rugăm să sunați la reprezentantul serviciului nostru pentru clienți la TELEFON GRATUIT 0808 145 4742 între orele 9:00 și 23:00, deoarece ați CÂȘTIGAT un premiu garantat de 1000 GBP în numerar sau 5000 GBP!"
legitim,Ai timp radio de Crăciun? Daca nu il voi primi acum
legitim,Abia am ajuns acasă. Eu merg primul la baie. Dar sora mea folosește net să-ți spună când termină...
phishing,Ești suficient de unic? Află din 30 august. www.areyouunique.co.uk
legitim,"Îmi pare rău. M-am alăturat liga oamenilor care nu țin legătura. Însemni foarte mult pentru mine. Ai fost un prieten în orice moment, chiar și cu un mare cost personal. Să aveți o săptămână minunată.|"
legitim,Salut :) in sfarsit am terminat cursul :)
legitim,"Se va opri pe sine. Totuși, îi sugerez să stea cu cineva care va putea oferi ors pentru fiecare scaun."
legitim,Ce mai faci? Sper că te-ai acomodat pentru noul an școlar. Îți doresc doar o zi gr8
legitim,Gud mrng draga sa ai o zi buna
legitim,Ai înțeles povestea acelei persoane?
legitim,"hamsterul tau este mort? Hei, așa că te întâlnesc la 13:00 orchard mrt?"
legitim,"Bună, e Kate, cum e seara ta? Sper să te văd mâine un pic, dar trebuie să mă babyjontet! Trimite mesaj înapoi dacă poți. :) xxx"
legitim,"L-am găsit, ENC &lt;#&gt; , unde esti?"
legitim,Ți-am trimis &lt;#&gt;  dolari
legitim,"Bună, dragă, am terminat facultatea acum, așa că trimite-mi când termini dacă poți să-l iubești pe Kate xxx"
legitim,Contul dvs. a fost reumplut cu succes de INR &lt;DECIMAL&gt; . Soldul contului dvs. preplătit KeralaCircle este Rs &lt;DECIMAL&gt; . ID-ul tranzacției dvs. este KR &lt;#&gt; .
legitim,Bună dimineața dormitor ga.
legitim,"Sună-mă la 11, ok."
legitim,"ÌÏ spune până când nu cumpăr ericsson, oso nu poate oredi lar..."
legitim,"Când am intrat în cabina mea, PA-ul meu a spus: „La mulți ani șefu!”. M-am simțit special. Ea mi-a cerut 4 prânz. După prânz, m-a invitat în apartamentul ei. Ne-am dus acolo."
legitim,"Aight yo, ăla heterosexual"
legitim,Vă rugăm să ne oferiți conexiunea chiar astăzi înainte de &lt;DECIMAL&gt;  sau rambursează factura
legitim,"Ambele :) trag încărcături mari, așa că pregătește-te!"
legitim,"Ce-i treaba, sper că ai avut o pauză grozavă. Să ai un semestru plin de satisfacții."
legitim,"Acasă, astfel încât să putem discuta mereu"
legitim,K:)k:)bine:)studiati bine.
legitim,Da... Cum Ì_ noe leh...
legitim,Sună grozav! Ești acasă acum?
legitim,"În sfârșit, meciul se îndreaptă spre egalitate ca pronostic."
legitim,Obosit. Nu am dormit bine în ultimele nopți.
legitim,Ușor ah?sen a fost selectat înseamnă că este bine..
legitim,Trebuie să dau examen cu 3 martie
legitim,"Da, ar trebui. Cred că poți folosi ATM-ul tău acum pentru a te înregistra. Nu sunt sigur, dar dacă există, vă pot ajuta să-mi spuneți. Dar când vei fi sigur că ești gata."
legitim,Ok nu problema. Fă-ți timp.
legitim,Există un sistem de operare numit ubandu care va rula fără a fi instalat pe hard disk... puteți utiliza acel sistem de operare pentru a copia fișierele importante din sistem și a le da la atelierul de reparații.
legitim,"Scuze, o să sun mai târziu"
legitim,"U spune leh... Desigur, nimic nu se întâmplă lar. Nu spune v romantic doar un pic doar lor. Cred că peisajul nu este atât de frumos."
phishing,"500 de telefoane mobile noi din 2004, TREBUIE ALE! Txt: NOKIA la nr: 89545 și adunați-l pe al dvs. astăzi! DE LA DOAR å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
legitim,Chiar aș aprecia dacă mă suni. Am nevoie doar de cineva cu care să vorbesc.
phishing,"Îți vei întâlni partenerul de vis în curând? Este cariera ta din 2 un început de zbor? 2 aflați gratuit, txt HORO urmat de semnul stelar, de ex. g. HORO BERBEC"
legitim,"Hei, compania elama po mudyadhu."
legitim,"Viața este mai strictă decât profesorul... Bcoz Profesorul predă lecție &amp; apoi conduce examenul, dar viața mai întâi conduce Examen &amp; apoi predă Lecții. dimineata buna. . ."
legitim,"Dragă, bună dimineața acum doar că sunt treaz"
legitim,Coborâți în gandhipuram și mergeți până la drumul tăiat transversal. Partea dreaptă &lt;#&gt; drumul stradal si faceti prima dreapta.
legitim,"Dragă, mergem la locul nostru de cauciuc"
legitim,"Îmi pare rău, bateria a murit, da, sunt aici"
legitim,Da:) aici televizorul este întotdeauna disponibil la locul de muncă..
phishing,"Trimite mesaje și întâlni pe cineva sexy astăzi. Puteți găsi o întâlnire sau chiar să flirtați până la U. Alăturați-vă 4 doar 10p. RĂSPUNS cu NUME ȘI VÂRSTA, de exemplu, Sam 25. 18 -msg recd@thirtyeight pence"
legitim,L-am imprimat oh. Deci &lt;#&gt;  vino sus
legitim,Sau voi fi puțin mai aproape ca la stația de autobuz de pe aceeași stradă
legitim,Unde esti? cand ajungi aici?
legitim,"Teorie nouă: Argumentul câștigă d SITUAȚIA, dar pierde PERSOANE. Deci nu te certa cu prietenii tăi doar... . . da-i cu piciorul &amp; spune, am întotdeauna dreptate.!"
phishing,U 447801259231 au un admirator secret care caută 2 ia contact cu U-aflați pe cine R*dezvăluie cine crede că UR este atât de special-sunați la 09058094597
legitim,"Mâine audierea finală pentru carcasa laptopului meu, așa că nu pot."
legitim,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
legitim,"Bine. Nu, nu, doar strălucește. A fost menit să semneze, dar asta sună mai bine."
legitim,"Deși ți-am spus că sunt în fața ceasurilor acum, dar îmi place foarte mult ceasul pe care l-ai dat pentru că este fr u. Mulțumesc 4 tot ce ai făcut astăzi, sunt emoționat..."
legitim,Nu-ți amintești vechea reclamă?
legitim,Prea târziu. Am spus că am site-ul. Nu aveam sau nu aveam papuci
legitim,Te-am rugat să-l suni acum ok
legitim,Kallis nu va bate în repriza a 2-a.
legitim,Nu a funcționat din nou oh. Ok noapte bună atunci. Îl voi repara și îl voi avea gata până te trezești. Vă este foarte dor de a avea un somn bun.
phishing,"Felicitări, ați primit 500 de vouchere CD sau 125 de cadouri garantate și intrare gratuită 2 100 de extrageri pe săptămână txt MUSIC la 87066 TnCs www.Ldew.com1win150ppmx3age16"
legitim,Ranjith cal drpd Deeraj si deepak 5min hold
legitim,"Wen your lovable bcums angry wid u, nu o luați în serios.. Pentru că a fi supărat este cel mai copilăresc și adevărat mod de a arăta afecțiune profundă, grijă n dragoste!.. kettoda manda... O zi bună."
legitim,Ce faci? ce faci?
legitim,"Ups care este, de asemenea, 3 zile, și compania de transport care durează 2 săptămâni. Cealaltă cale este usps, care durează o săptămână, dar când ajunge să întârzie, s-ar putea să trebuiască să mituiți nipost pentru a vă obține lucrurile."
legitim,"M-am întors, să știu când ești gata"
legitim,"Nu vă așteptați neapărat să se facă înainte de a vă întoarce, pentru că tocmai acum plec"
legitim,"Mmm, atât de delicioasă, iubito... O zguduire plăcută pentru Suzy"
legitim,Unde esti iubita? Am nevoie de tine ...
phishing,Am încercat să vă contactăm pentru răspunsul dvs. la oferta noastră de receptor video? 750 de minute de rețele oricând? TEXT NELIMITAT? Cameră video? Răspunde sau sună la 08000930705 ACUM
legitim,IÛ÷m parcat langa un MINI!!!! Când crezi că intri azi?
legitim,Da
legitim,"Oricum, acum ma duc la cumparaturi pe cont propriu. Pentru că sora mea nu a terminat încă. Dun perturb u liao."
legitim,NU MEU. IN LUTON 0125698789 Suna-ma daca esti in jur! H*
phishing,"Hei, sunt foarte excitat, vreau să discut sau să mă vezi goală, trimite mesaj text la 69698 text taxat la ora 150:00 pentru a te dezabona text stop 69698"
legitim,De ce nu vii cu noi.
legitim,Aceleaşi. Vreau să plănuiesc o călătorie cândva
